City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
349,mahebourg,-20.4081,57.7,24.03,94,75,1.54,MU,1674531340
350,roanoke,37.271,-79.9414,3.56,69,75,8.23,US,1674531340
351,baijiantan,45.6333,85.1833,-22.67,92,26,1.0,CN,1674531340
352,antsohihy,-14.8796,47.9875,22.73,94,96,3.37,MG,1674531340
353,fairburn,33.5671,-84.581,2.97,88,0,2.06,US,1674531341
354,fereydunshahr,32.941,50.121,-13.45,98,83,1.68,IR,1674531341
355,coquimbo,-29.9533,-71.3436,16.85,94,0,2.06,CL,1674531341
356,deniliquin,-35.5333,144.9667,25.34,40,100,5.34,AU,1674531341
357,northam,51.0333,-4.2167,1.52,69,15,2.39,GB,1674531342
358,port-gentil,-0.7193,8.7815,27.46,79,100,5.38,GA,1674531342
359,dullewala,31.8359,71.4362,11.96,32,0,3.59,PK,1674531342
360,praia da vitoria,38.7333,-27.0667,15.42,77,75,8.2,PT,1674531342
361,dombovar,46.3766,18.137,4.45,84,100,3.66,HU,1674531342
362,ribas do rio pardo,-20.4431,-53.7592,22.5,89,100,2.4,BR,1674531343
363,nome,64.5011,-165.4064,-18.96,65,0,3.09,US,1674531343
364,zavoronezhskoye,52.8801,40.5526,-10.67,92,12,1.58,RU,1674531343
365,tomatlan,19.9333,-105.25,17.89,93,44,1.36,MX,1674531344
366,alofi,-19.0595,-169.9187,27.94,83,40,2.57,NU,1674531344
367,olafsvik,64.8945,-23.7142,3.31,95,100,7.2,IS,1674531344
368,tarnogskiy gorodok,60.4997,43.5761,-5.48,94,98,3.28,RU,1674531345
369,port antonio,18.18,-76.4612,25.95,81,16,4.03,JM,1674531345
370,lasa,46.6166,10.7002,-0.35,95,83,0.5,IT,1674531345
371,raudeberg,61.9875,5.1352,7.7,1,100,11.09,NO,1674531346
372,vostok,46.4856,135.8833,-32.09,86,100,3.66,RU,1674531346
373,polis,35.0367,32.4264,8.9,59,0,2.53,CY,1674531347
374,linxia,35.6003,103.2064,-9.83,53,3,1.13,CN,1674531348
375,hofn,64.2539,-15.2082,3.35,90,100,6.98,IS,1674531349
376,haimen,23.1935,116.6142,14.94,57,100,7.67,CN,1674531349
377,minsk,53.9,27.5667,-1.14,99,100,1.06,BY,1674531349
378,nizwa,22.9333,57.5333,14.85,74,86,0.41,OM,1674531350
379,dehui,44.5333,125.7,-20.95,45,2,5.53,CN,1674531350
380,kodiak,57.79,-152.4072,3.73,87,75,3.09,US,1674531351
381,waingapu,-9.6567,120.2641,30.85,53,77,1.78,ID,1674531351
382,mayumba,-3.432,10.6554,25.67,83,100,2.79,GA,1674531351
383,nhulunbuy,-12.2333,136.7667,28.34,83,75,4.63,AU,1674531351
384,grong,64.4654,12.3149,2.6,100,100,1.88,NO,1674531352
385,kolondieba,11.0882,-6.8926,25.23,21,73,1.07,ML,1674531352
386,labuhan,-6.8844,112.2051,29.27,69,100,1.89,ID,1674531352
387,santa lucia,27.9117,-15.5407,13.62,52,75,5.66,ES,1674531352
388,torbay,47.6666,-52.7314,0.88,96,100,12.86,CA,1674531353
389,guaraciaba do norte,-4.1669,-40.7475,18.12,94,17,1.44,BR,1674531353
390,constitucion,-35.3333,-72.4167,15.32,92,9,0.86,CL,1674531353
391,andenes,69.3143,16.1194,2.99,56,100,13.89,NO,1674531354
392,santa isabel do rio negro,-0.4139,-65.0192,22.38,93,82,1.07,BR,1674531354
393,inhambupe,-11.7844,-38.3531,21.76,93,54,2.44,BR,1674531354
394,jacareacanga,-6.2222,-57.7528,22.58,99,100,0.24,BR,1674531354
395,hanyang,32.1371,105.5126,2.87,19,97,1.55,CN,1674531355
396,tuatapere,-46.1333,167.6833,17.15,50,7,3.99,NZ,1674531355
397,belaya gora,68.5333,146.4167,-32.61,99,100,0.84,RU,1674531355
398,hovd,48.0056,91.6419,-20.6,65,100,1.16,MN,1674531193
399,irbeyskoye,55.6428,95.4522,-11.97,90,100,3.72,RU,1674531357
400,ancud,-41.8697,-73.8203,11.71,83,63,3.83,CL,1674531357
401,pandan,14.0453,124.1694,26.34,83,44,5.98,PH,1674531357
402,mayya,61.7333,130.2811,-50.38,94,100,0.75,RU,1674531357
403,skofja loka,46.1655,14.3063,3.76,97,75,1.03,SI,1674531358
404,kitimat,54.0524,-128.6534,5.51,27,100,2.66,CA,1674531358
405,vila velha,-20.3297,-40.2925,26.97,91,40,1.03,BR,1674531359
406,payson,40.0444,-111.7321,-3.19,77,75,4.12,US,1674531359
407,baoying,33.2292,119.3092,-3.38,28,61,6.92,CN,1674531359
408,deputatskiy,69.3,139.9,-35.95,100,95,0.83,RU,1674531360
409,yatou,37.15,122.3833,-8.98,70,100,11.31,CN,1674531271
410,hue,16.4667,107.6,20.06,94,75,6.69,VN,1674531308
411,balsas,-7.5325,-46.0356,24.64,80,100,1.55,BR,1674531361
412,bonthe,7.5264,-12.505,23.9,89,55,2.76,SL,1674531361
413,bontang,0.1333,117.5,29.59,65,100,2.17,ID,1674531361
414,linden,6.0,-58.3,20.65,99,19,0.82,GY,1674531362
415,mandalgovi,45.7625,106.2708,-20.25,53,55,5.49,MN,1674531362
